puma,boro,nabes,displacementriskindex,populationvulnerability,housingconditions,marketpressure,percentnotwhite,percentbelow2xpovertyrate,percentbelow2xpovertyrate_moe,limitedenglishproficiency,limitedenglishproficiency_moe,percentrentburdened,percentrentburdened_moe,percentunitswith3plusmaintenancedeficiencies,percentunitswith3plusmaintenancedeficiencies_moe,percentunitswithnoincomerestrictions,hny_nycha,totunts_20,percentrenters,percentrenters_moe,percentunitswithrentregulations,percentunitswithrentregulations_moe,changeinrents_moe,salespriceappreciation,changeinpopulationwithbachelorsdegrees,changeinpopulationwithbachelorsdegrees_moe,NU_lots,NU_airRightTrans,NU_mergedLots,NU_uniqueOwners,NU_landmark,NU_HistDist,NU_rentSt_12,NU_permits_12,NU_permits_22,UnitsRes_12,UnitsRes_22,NU_pass_screen,NU_softsites_12,NU_res_lots_12,NU_unitResInc,NU_unitResDec,NU_rec_dev,NU_rec_dev_2,NU_rec_dev_is_soft_site,NU_rec_dev_not_soft_site,NU_rec_dev_is_rent_st,NU_rec_dev_not_rent_st,PERC_unitResInc,PERC_unitResDec,PERC_landmark,PERC_HistDist,PERC_rentSt_12,PERC_rec_dev,PERC_rec_dev_2,PERC_assesedRatioInc,PERC_recentAlter,PERC_screen_passed,fail_initial_screen,PERC_screen_failed,PERC_softsites,PERC_rec_dev_not_soft_site,long,lat
04018,Brooklyn,Brighton Beach & Coney Island,54,62,38,41,47,48,3,44,3,30,4,6,3,81,2446,13367,72,3,47,12,129,3,31,20,8656,72,428,7458,6,0,348,293,128,50042,50821,519,385,7101,158,140,433,506,66,367,19,414,2,2,0,0,5,5,6,87,2,6,8137,94,4,85,-73.99799280925905,40.57622159571234
04101,Queens,Astoria & Long Island City,39,40,47,75,52,32,2,21,1,22,2,10,2,90,2079,27585,81,2,45,8,83,4,40,13,18596,71,430,16546,6,0,2207,743,390,78490,83236,963,730,15973,509,256,572,629,127,445,15,557,3,1,0,0,14,3,3,90,2,5,17633,95,4,78,-73.9154553236262,40.77058851789711
04102,Queens,Jackson Heights & North Corona,64,82,44,8,90,41,2,46,2,34,3,7,3,100,22,28577,65,2,50,11,91,3,-2,13,15567,123,171,14395,3,519,647,457,127,54885,55490,426,303,14368,346,185,271,285,46,225,1,270,2,1,0,3,5,2,2,94,2,3,15141,97,2,83,-73.87509870920225,40.76491719955664
04103,Queens,"Flushing, Murray Hill & Whitestone",58,76,36,6,79,39,2,50,2,39,5,4,2,99,355,18743,54,3,44,9,124,3,-23,9,34989,315,568,32193,15,1,514,1650,404,93332,93867,2378,2090,31565,1033,306,911,990,225,686,6,905,3,1,0,0,2,3,3,93,4,7,32611,93,6,75,-73.81525419174505,40.77755285128248
04104,Queens,"Bayside, Douglaston & Little Neck",29,38,43,5,66,20,2,29,3,26,5,2,2,100,6,12862,30,3,24,17,185,3,-2,10,25940,232,190,24686,4,743,173,924,197,44901,45037,2120,1945,24455,413,141,425,467,130,295,3,422,2,1,0,3,1,2,2,96,2,8,23820,92,7,69,-73.75916284052975,40.75777360146623
04105,Queens,"Queens Village, Cambria Heights & Rosedale",23,30,43,6,91,20,2,12,2,29,7,4,2,100,4,10714,28,3,10,9,204,3,3,14,43775,365,211,41482,2,0,86,904,143,60680,61064,2861,2648,41299,476,129,251,324,87,164,1,250,1,0,0,0,0,1,1,96,1,7,40914,93,6,65,-73.7555562313396,40.68017450746802
04106,Queens,"Briarwood, Fresh Meadows & Hillcrest",42,52,52,6,73,30,3,26,3,28,5,3,2,92,1062,13019,54,3,34,9,105,3,4,13,19853,134,114,18880,1,0,230,744,180,57187,58051,1211,1099,18939,316,116,227,242,72,155,0,227,2,1,0,0,1,1,1,96,4,6,18642,94,6,68,-73.79621652453659,40.72585722875587
04107,Queens,Elmhurst & South Corona,75,95,47,10,95,45,2,48,2,33,3,11,4,99,152,25608,75,2,50,11,68,3,10,13,9460,119,146,8648,5,0,342,355,108,44189,44559,308,240,8580,312,177,268,288,50,218,6,262,3,2,0,0,4,3,3,93,5,3,9152,97,3,81,-73.8549637061431,40.74206540929263
04108,Queens,Forest Hills & Rego Park,23,32,33,6,56,21,1,24,1,29,3,4,3,99,528,35139,53,2,68,9,77,3,6,7,10171,41,138,9507,2,0,377,323,91,54078,55042,285,229,9471,101,64,137,164,34,103,6,131,1,1,0,0,4,1,2,95,2,3,9886,97,2,75,-73.85173962729256,40.72270110649174
04109,Queens,Sunnyside & Woodside,43,48,46,52,75,29,2,35,2,23,3,9,4,96,1276,27760,70,2,53,8,89,3,34,12,13440,165,491,11816,6,665,1080,529,288,55638,67752,1178,965,10239,357,164,521,604,137,384,5,516,3,1,0,5,11,4,4,82,3,9,12262,91,7,74,-73.92022989879119,40.74057145310136
04110,Queens,"Ridgewood, Glendale & Middle Village",31,33,39,60,52,26,2,23,2,24,3,2,1,100,54,19584,59,2,39,10,88,3,59,17,31561,141,233,29010,2,341,1486,529,118,66143,66939,933,741,29183,323,157,227,304,54,173,5,222,1,0,0,1,5,1,1,95,2,3,30628,97,2,76,-73.88945801295593,40.71041015255447
04111,Queens,Richmond Hill & Woodhaven,41,48,54,22,85,32,2,26,2,30,3,3,2,100,10,18311,53,2,33,11,88,3,21,12,20335,180,185,18959,3,0,270,407,90,45113,45965,772,652,18907,244,125,168,233,35,133,2,166,1,1,0,0,1,1,1,94,1,4,19563,96,3,79,-73.84166468242708,40.69635105914618
04112,Queens,"Jamaica, Hollis & St. Albans",36,42,50,15,98,31,2,14,2,29,4,10,4,87,1799,14947,50,3,28,9,130,3,31,19,40470,391,393,36864,16,448,246,761,294,73503,75898,2392,2027,36664,779,174,513,612,151,362,4,509,2,0,0,1,1,1,2,92,2,6,38078,94,5,71,-73.77869318050793,40.69162995976587
04113,Queens,Howard Beach & Ozone Park,31,35,43,37,80,28,2,13,1,32,5,1,2,100,7,18749,32,3,2,3,120,3,37,18,25278,150,290,23233,0,0,67,436,74,39144,39392,842,677,23141,338,147,275,395,54,221,1,274,1,1,0,0,0,1,2,93,1,3,24436,97,3,80,-73.83367266918796,40.66789431718838
04114,Queens,"Far Rockaway, Breezy Point & Broad Channel",34,45,39,5,80,43,2,12,2,25,3,10,4,78,3810,17561,72,2,38,11,89,3,41,22,14831,108,351,12477,1,0,227,507,231,47802,45756,2211,1849,12294,189,197,428,515,123,305,4,424,1,1,0,0,2,3,3,83,1,15,12620,85,12,71,-73.87191735413332,40.556832160428826
