BBL,LotArea_12,availFAR_perc_12
2037360042,10535,89.3
2029820006,15000,50
2031870014,10000,95
2027440027,11750,78.5
2042420010,7500,73.6
2041960001,5076,59.3
2038340045,5000,75.5
2028450034,10245,67.6
2029770309,7281,56
2028110015,10406,88.2
2028790188,5520,93.6
2030730008,6495,76.1
2030220029,6292,100
2026470045,7929,63.8
2027710235,5000,50
2032020038,11491,82.7
2037660039,9597,98.4
2028500038,5000,100
2039320170,5219,65.4
2041990019,5110,69.1
2027710074,186000,100
2026030007,22500,60
2041110021,5220,52.2
2030100033,17525,66.7
2030320033,7850,61.8
2029190039,6133,100
2032010040,16622,67.9
2022950040,13654,100
2025640063,5000,50
2023410028,17860,96.2
2038290017,5150,56.8
2027740323,15000,50
2027750044,10000,100
2027610248,5000,50
2035100034,5417,75.2
2043100030,9210,90.5
2035120053,5029,56.8
2029810011,5000,100
2022960018,12500,100
2027240175,7920,73.5
2032080036,6947,77.3
2024580013,6890,96
2043120024,5000,60
2036970016,10307,100
2025160063,7268,91.3
2027810301,2270000,100
2026060049,47481,100
2022600180,29530,100
2027750080,10000,82
2027620290,12604,56.5
2027710201,10700,50
2023810047,5000,97.4
2034480005,5100,60
2028770398,6104,61.6
2040250040,14924,89
2028770280,5000,84
2025540054,9310,100
2038780009,17670,55.2
2025940035,35490,50
2030480046,11327,56.6
2032040007,5000,74.5
2027620019,5000,66.7
2027720213,10633,53
2026970022,5031,100
2039900055,5091,73.7
2037940123,5250,77.4
2031790020,27500,54.5
2027800074,720000,91
2026650056,8760,84.4
2035620064,5000,100
2028570001,18066,100
2039580140,22884,57.6
2034450044,5000,100
2034430009,14000,100
2026770024,18438,75.3
2024860001,75020,100
2028430005,17500,71.8
2027620365,26964,68
2026060003,209700,66.5
2023620007,5775,71.8
2032250114,11830,75.3
2039940010,11748,100
2031830045,6143,100
2039690001,8567,63
2039630010,18205,57.6
2034300066,18428,100
2030790047,18190,82.3
2027360213,15775,50
2031860010,5000,50
2042440038,5000,59.1
2035420020,254650,100
2027770230,57575,59.5
2027660214,6864,100
2025110030,5340,100
2039320122,14390,88.1
2042570150,7500,100
2031050017,10557,100
2024500042,15000,100
2027650001,7860,50
2027110001,8751,100
2023630004,15160,100
2039670089,15797,83.5
2025240040,14250,73
2025240056,6750,100
2027690054,7500,50
2023730038,10112,96.2
2040460007,6000,100
2028670041,5000,100
2029800056,5000,86.6
2027370102,10940,64
2025360013,6851,71.2
2027620435,26250,100
2027720061,5000,87
2023300062,7721,95.9
2030150034,27637,52.8
2034720020,5000,50
2025530028,5225,70
2036870058,5150,61.7
2023490112,191000,97.7
2027740301,5000,50
2027750279,35150,100
2025810001,8300,84.9
2026000125,8670,65.4
2037150027,5000,100
2038070006,9330,65.6
2034510034,35586,100
2030270032,6490,100
2031870018,17500,94
2027290012,24180,52.5
2027180063,12223,100
2038380226,16755,60
2043120029,11242,50
2041340070,6840,100
2023160001,133700,91.4
2037570037,5325,68.8
2041760001,5000,88.4
2028360035,8894,95.8
2025720006,60000,50.6
2024490017,6617,79.7
2025860012,18200,62.5
2025500026,5000,100
2028440009,9723,74.5
2039880037,15000,59.3
2030880022,16876,72
2029000055,6900,71.4
2023860030,16347,72.7
2035550001,22600,72
2034990023,5000,85.6
2029390118,11553,92.7
2023080001,20000,50.2
2037640040,9675,77.6
2037620009,5000,66.4
2041700032,7500,84
2026060252,70650,55.5
2027650029,5000,100
2038190030,7725,80.8
2040640022,5735,58.9
2027240103,21500,100
2027660320,44032,92.5
2022930073,6741,70.9
2026790043,7244,100
2023190002,67000,96
2030150087,8823,97.2
2027650115,7500,50
2038860001,9771,59.3
2038270001,70382,94.5
2034830001,148500,100
2028370009,9831,76.1
2040880034,5509,66.7
2029330006,5075,84
2029250070,5398,77.3
2024090073,31890,NA
2023490047,33306,100
2023850017,5328,100
2030600008,20925,80.2
2027410042,7600,100
2040810002,5406,58.8
2027370070,5780,73
2022760001,253938,66
2035590048,5000,68
2039770022,7067,78.2
2031490140,14731,60.5
2027740601,6300,100
2039320160,9160,88.1
2027210015,6834,70.9
2027690195,20000,68
2043180016,10000,76.7
2042430058,5000,58.2
2038000030,5150,100
2035620058,5000,100
2025650025,5250,98.5
2022680030,5096,100
2023870051,10771,100
2023010015,10000,93
2028920085,15046,58
2028100033,9500,85.9
2038190027,5150,60
2027290058,17558,50
2041640005,13687,66
2029550025,5000,70.3
2027260070,10423,74.1
2023330054,21744,91
2038380318,32964,100
2028530027,9631,83.4
2042230030,13830,100
2030850030,42900,83.7
2029760079,12179,86.9
2025990107,7500,94
2023890020,15207,100
2030440088,10868,77.5
2028610032,5000,80
2031790060,7643,100
2027660232,15200,100
2027720125,10000,99.5
2027690062,5000,50
2022600004,13770,99.2
2037080045,20833,100
2039130008,5472,68
2030150110,9548,100
2028390049,9517,100
